weight_class_id,weight_class,division_id,division,sequence
a0219763-653e-4516-8efb-067d59a58e68,101,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,1
036bf4cf-2f5e-47e5-890c-e8402485ef07,109,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,2
10705f4f-2274-4f78-a4d3-5c00e67018ba,116,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,3
3ffc7fe6-c0f8-4aad-998f-8ac1513d9eb8,123,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,4
bf34ecf1-1c1d-45d5-8693-1314aa7655e7,130,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,5
0aefdcd2-5b3b-4cdf-906f-1a1dc8253405,136,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,6
4b1b22fb-8e84-4d14-8ff1-4e22669dbb00,143,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,7
32412149-fe0f-4fc2-88fe-6789e4f3377c,155,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,8
9805190d-ceb1-4eab-b2f2-b92e5db0693e,170,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,9
81f6b449-5e1a-4744-bebb-4492ddfee5bb,191,faca000c-60d0-4caa-89c1-12034e50c33f,NAIA,10
