year,weight_class,round,winner,winner_school,win_method,score,loser,loser_school
2025,103,Cons. Round 3,Sofia Abramson,Oklahoma City,Dec,10-8,Olivia Atkins,William Penn
2025,103,Cons. Round 3,Alexis Hatfield,Avila,Dec,5-0,Devyn Moore,Grand View
2025,110,Cons. Round 3,Nizhoni Tallman-Olney,Evergreen State,Dec,8-4,Aynsley Fink,Ottawa
2025,110,Cons. Round 3,Reagan Thomas,Lindsey Wilson,Dec,12-3,Nia Avelino,Eastern Oregon
2025,110,Cons. Round 3,Jenna Gerhardt,Dickinson State,Dec,4-3,Telsarina Walter,Eastern Oregon
2025,110,Cons. Round 3,Kayla Shota,Providence,TF,10-0,Hailey Holland,Missouri Valley
2025,117,Cons. Round 3,Icart Galumette,Campbellsville,Fall,2:02,Alicia Frank,Providence
2025,117,Cons. Round 3,Irma Retano,Eastern Oregon,TF,13-2,Larhae Whaley,Dickinson State
2025,117,Cons. Round 3,Jamesa Robinson,Brewton-Parker,Fall,4:31,Julia Breeden,Doane
2025,117,Cons. Round 3,Callie Payton,Lindsey Wilson,TF,10-0,Victoria Nunez,Central Methodist
2025,124,Cons. Round 3,Alyssa Randles,Providence,TF,14-4,Presley Anderson,Cumberlands
2025,124,Cons. Round 3,Ariana Martinez,Life,TF,12-0,Peyton Hand,Ottawa
2025,124,Cons. Round 3,Catharine Campbell,Grand View,Fall,1:02,Catherine Steinkamp,William Penn
2025,124,Cons. Round 3,Malia Welch,Southern Oregon,TF,13-2,Tess Barnett,Wayland Baptist
2025,131,Cons. Round 3,Olivia Messerly,Campbellsville,TF,13-2,Mary Jane Porter,Cumberlands
2025,131,Cons. Round 3,Andrea Hernandez,Indiana Tech,Fall,2:28,Paige Respicio,Providence
2025,131,Cons. Round 3,Larissa Kaz,Hastings,Fall,3:49,Destiny Campbell,Oklahoma City
2025,131,Cons. Round 3,Ashlee Palimoo,Doane,Dec,4-3,Cameron Ortiz,Campbellsville
2025,138,Cons. Round 3,Serenity De La Garza,Missouri Valley,Fall,3:37,Lilly Gough,Central Methodist
2025,138,Cons. Round 3,Isabelle Hawley,William Penn,Fall,2:13,Addison Messerly,Campbellsville
2025,138,Cons. Round 3,Natalia Posada,Oklahoma City,Dec,12-10,Kailey Rees,Providence
2025,138,Cons. Round 3,Livia Swift,Ottawa,Fall,1:51,Araya Boday,Saint Mary
2025,145,Cons. Round 3,Bridgette Sotomayor,Doane,Dec,9-4,Emma Stice,Hastings
2025,145,Cons. Round 3,Anastasia Hardin,Missouri Baptist,Fall,1:53,Berlyn Davis,Westcliff
2025,145,Cons. Round 3,Alivia Ming,Cumberlands,Fall,2:16,Aniseta Acosta,Missouri Valley
2025,145,Cons. Round 3,Esther Han,Providence,Fall,5:53,Ann Marie Meiman,Jamestown
2025,160,Cons. Round 3,Kylee Tait,Campbellsville,Fall,5:36,Kiley Hubby,Dickinson State
2025,160,Cons. Round 3,Alexa Wolf,William Penn,Fall,5:48,Corin Lowe,Oklahoma City
2025,160,Cons. Round 3,Taydem Khamjoi,Texas Wesleyan,TF,12-0,Emmalee Spurgeon,Grand View
2025,160,Cons. Round 3,Abigail Sebesta,Ottawa,Fall,1:10,Hailey Sutton,Providence
2025,180,Cons. Round 3,America Lopez,William Penn,TF,11-0,Marissa Patterson,Hastings
2025,180,Cons. Round 3,Lillian Gradillas-Flores,Southern Oregon,Fall,0:48,Yazmin Belk,Doane
2025,180,Cons. Round 3,Siara Arrington,Ottawa,Fall,1:03,Kaylee Davis,Ottawa
2025,180,Cons. Round 3,Catherine McNulty,Indiana Tech,Dec,2-2,Grace Doering,Indiana Tech
2025,207,Cons. Round 3,Brianna Staebler,Campbellsville,Fall,0:35,Grace Todhunter,Jamestown
2025,207,Cons. Round 3,Mariyah Brumley,William Woods,Fall,0:55,Hailey Romero,Doane
2025,207,Cons. Round 3,MaQuoia Bernabe,Cumberlands,Dec,2-1,Kena Leonard,Ottawa
2025,207,Cons. Round 3,Leilani Sanchez,Wayland Baptist,Fall,4:39,Naomi Duenas,Cumberlands
2025,103,Cons. Round 4,Karina Vang,Doane,Dec,3-3,Malarie Dominguez,Wayland Baptist
2025,103,Cons. Round 4,Angelina Casteneda,Cumberlands,TF,10-0,Eyvori Jacquez,Saint Mary
2025,103,Cons. Round 4,Sofia Abramson,Oklahoma City,Fall,2:15,Katherine Hernandez,Life
2025,103,Cons. Round 4,Alexis Hatfield,Avila,Dec,8-5,Dutchess King,Cumberlands
2025,110,Cons. Round 4,Nizhoni Tallman-Olney,Evergreen State,Dec,6-5,Lita Cruz,Grand View
2025,110,Cons. Round 4,Alexsys Jacquez,Saint Mary,TF,15-4,Reagan Thomas,Lindsey Wilson
2025,110,Cons. Round 4,Tristan Nitta,Grand View,Fall,2:55,Jenna Gerhardt,Dickinson State
2025,110,Cons. Round 4,Tehani Soares,Indiana Tech,Fall,2:07,Kayla Shota,Providence
2025,117,Cons. Round 4,Icart Galumette,Campbellsville,TF,12-2,Cailin Campbell,Grand View
2025,117,Cons. Round 4,Shammilka Miranda,Cumberlands,Fall,0:58,Irma Retano,Eastern Oregon
2025,117,Cons. Round 4,Katherine Heath,Baker,TF,12-2,Jamesa Robinson,Brewton-Parker
2025,117,Cons. Round 4,Mayangelie Colon Davila,Grand View,Fall,3:45,Callie Payton,Lindsey Wilson
2025,124,Cons. Round 4,Rose Kaplan,Indiana Tech,Dec,6-5,Alyssa Randles,Providence
2025,124,Cons. Round 4,Ariana Martinez,Life,DQ,Kamilah,Brooks,Lindsey Wilson
2025,124,Cons. Round 4,Catharine Campbell,Grand View,TF,11-0,Ellabelle Taylor,Evergreen State
2025,124,Cons. Round 4,Maya Davis,Grand View,Fall,2:06,Malia Welch,Southern Oregon
2025,131,Cons. Round 4,Sarah Savidge,Life,Fall,3:52,Olivia Messerly,Campbellsville
2025,131,Cons. Round 4,Devin Patton,William Penn,TF,11-0,Andrea Hernandez,Indiana Tech
2025,131,Cons. Round 4,Larissa Kaz,Hastings,TF,13-2,Ashley Whetzal,Missouri Valley
2025,131,Cons. Round 4,Olivia Mottley,Life,TF,11-0,Ashlee Palimoo,Doane
2025,138,Cons. Round 4,Serenity De La Garza,Missouri Valley,Fall,2:08,Kendall Bostelman,William Penn
2025,138,Cons. Round 4,Isabelle Hawley,William Penn,Dec,2-1,Gabriella Perez,Campbellsville
2025,138,Cons. Round 4,Natalia Posada,Oklahoma City,Dec,6-4,Kori Campbell,Lindsey Wilson
2025,138,Cons. Round 4,Jordan Suarez,Wayland Baptist,Dec,8-4,Livia Swift,Ottawa
2025,145,Cons. Round 4,Bridgette Sotomayor,Doane,Fall,4:41,Krista Warren,Grand View
2025,145,Cons. Round 4,Anastasia Hardin,Missouri Baptist,Fall,5:16,Aspen Dodge,Providence
2025,145,Cons. Round 4,Alivia Ming,Cumberlands,Dec,4-2,Josselinne Campos,Lindsey Wilson
2025,145,Cons. Round 4,Aubrey Yauger,Texas Wesleyan,Dec,5-2,Esther Han,Providence
2025,160,Cons. Round 4,Micah Fisher,Cumberlands,TF,11-0,Kylee Tait,Campbellsville
2025,160,Cons. Round 4,Aspen Barber,Doane,Dec,8-1,Alexa Wolf,William Penn
2025,160,Cons. Round 4,Flor Parker Borrero,Evergreen State,Fall,1:28,Taydem Khamjoi,Texas Wesleyan
2025,160,Cons. Round 4,Abigail Sebesta,Ottawa,Inj.,0:00,Quilaztli Miguel,Southern Oregon
2025,180,Cons. Round 4,America Lopez,William Penn,TF,10-0,Bailey Dennis,Southern Oregon
2025,180,Cons. Round 4,Lillian Gradillas-Flores,Southern Oregon,Dec,7-0,Saiheron Preciado-Meza,Cumberlands
2025,180,Cons. Round 4,India Page,Lindsey Wilson,Fall,1:01,Siara Arrington,Ottawa
2025,180,Cons. Round 4,Reka Busa,Life,Fall,0:26,Catherine McNulty,Indiana Tech
2025,207,Cons. Round 4,Hannah Jackson,Ottawa,Fall,1:05,Brianna Staebler,Campbellsville
2025,207,Cons. Round 4,Mariyah Brumley,William Woods,Fall,2:13,Hayeni Costa,Lindsey Wilson
2025,207,Cons. Round 4,MaQuoia Bernabe,Cumberlands,Fall,3:00,Bella Porcelli,Grand View
2025,207,Cons. Round 4,Alysse Phillips,Lourdes,Fall,5:44,Leilani Sanchez,Wayland Baptist
2025,103,Semifinal,Erin Hikiji,Providence,TF,10-0,Judy Sandoval,Grand View
2025,103,Semifinal,Alexis Miller,Oklahoma City,Fall,2:27,Makayla Young,Indiana Tech
2025,110,Semifinal,Anaya Falcon,Life,Dec,3-1,Emma Baertlein,Southern Oregon
2025,110,Semifinal,Stefana Jelacic,Lourdes,TF,11-1,Paige Morales,Providence
2025,117,Semifinal,Christianah Ogunsanya,William Penn,Dec,11-2,Jasmine Howard,Southern Oregon
2025,117,Semifinal,Salyna Shotwell,Life,Fall,5:07,Camille Fournier,Texas Wesleyan
2025,124,Semifinal,Cristelle Rodriguez,Doane,TF,11-0,Jasmina Immaeva,Missouri Valley
2025,124,Semifinal,Katie Gomez,Cumberlands,Dec,8-2,Joanna Vanderwood,William Penn
2025,131,Semifinal,Jumoke Adekoye,Dickinson State,Dec,3-1,Carolina Moreno,Southern Oregon
2025,131,Semifinal,Xochitl Mota-Pettis,Missouri Valley,Fall,4:42,Mercy Adekuoroye,Wayland Baptist
2025,138,Semifinal,Zaynah McBryde,Life,Dec,8-0,Samantha Barragan,Texas Wesleyan
2025,138,Semifinal,Waipuilani Estrella-Beauchamp,Providence,TF,12-2,Reagen Gallaway,Hastings
2025,145,Semifinal,Jamilah McBryde,Life,TF,14-4,Sevreign Aumua,Missouri Valley
2025,145,Semifinal,Esther Kolawole,William Penn,TF,11-0,Liv Wieber,Eastern Oregon
2025,160,Semifinal,Latifah McBryde,Life,Dec,7-2,Josette Partney,Missouri Baptist
2025,160,Semifinal,Darby Weidl,Ottawa,Fall,5:27,Allyssa Johnson,Jamestown
2025,180,Semifinal,Ashley Lekas,Texas Wesleyan,TF,10-0,Liliana Vergara,Campbellsville
2025,180,Semifinal,Kelani Corbett,Missouri Valley,Fall,3:39,Jannell Avila,Baker
2025,207,Semifinal,Riley Dempewolf,Indiana Tech,Dec,2-1,Olivia Brown,Grand View
2025,207,Semifinal,Savannah Isaac,Life,Dec,7-0,Kathryn Hingano,Southern Oregon
2025,103,Cons. Round 5,Angelina Casteneda,Cumberlands,TF,10-0,Karina Vang,Doane
2025,103,Cons. Round 5,Alexis Hatfield,Avila,Fall,1:59,Sofia Abramson,Oklahoma City
2025,110,Cons. Round 5,Alexsys Jacquez,Saint Mary,TF,11-0,Nizhoni Tallman-Olney,Evergreen State
2025,110,Cons. Round 5,Tehani Soares,Indiana Tech,Dec,3-3,Tristan Nitta,Grand View
2025,117,Cons. Round 5,Shammilka Miranda,Cumberlands,Fall,2:32,Icart Galumette,Campbellsville
2025,117,Cons. Round 5,Mayangelie Colon Davila,Grand View,TF,11-0,Katherine Heath,Baker
2025,124,Cons. Round 5,Rose Kaplan,Indiana Tech,TF,12-0,Ariana Martinez,Life
2025,124,Cons. Round 5,Catharine Campbell,Grand View,Fall,2:59,Maya Davis,Grand View
2025,131,Cons. Round 5,Sarah Savidge,Life,Dec,10-6,Devin Patton,William Penn
2025,131,Cons. Round 5,Olivia Mottley,Life,Dec,5-1,Larissa Kaz,Hastings
2025,138,Cons. Round 5,Serenity De La Garza,Missouri Valley,Fall,0:33,Isabelle Hawley,William Penn
2025,138,Cons. Round 5,Jordan Suarez,Wayland Baptist,Fall,1:47,Natalia Posada,Oklahoma City
2025,145,Cons. Round 5,Bridgette Sotomayor,Doane,DQ,Anastasia,Hardin,Missouri Baptist
2025,145,Cons. Round 5,Aubrey Yauger,Texas Wesleyan,Fall,3:45,Alivia Ming,Cumberlands
2025,160,Cons. Round 5,Micah Fisher,Cumberlands,Fall,2:34,Aspen Barber,Doane
2025,160,Cons. Round 5,Flor Parker Borrero,Evergreen State,Fall,1:31,Abigail Sebesta,Ottawa
2025,180,Cons. Round 5,Lillian Gradillas-Flores,Southern Oregon,Dec,6-0,America Lopez,William Penn
2025,180,Cons. Round 5,India Page,Lindsey Wilson,Fall,2:53,Reka Busa,Life
2025,207,Cons. Round 5,Hannah Jackson,Ottawa,Dec,8-0,Mariyah Brumley,William Woods
2025,207,Cons. Round 5,MaQuoia Bernabe,Cumberlands,Dec,3-0,Alysse Phillips,Lourdes
2025,103,Cons. Semi,Makayla Young,Indiana Tech,FF,Angelina,Casteneda,Cumberlands
2025,103,Cons. Semi,Judy Sandoval,Grand View,TF,12-0,Alexis Hatfield,Avila
2025,110,Cons. Semi,Paige Morales,Providence,TF,10-0,Alexsys Jacquez,Saint Mary
2025,110,Cons. Semi,Tehani Soares,Indiana Tech,Dec,4-2,Emma Baertlein,Southern Oregon
2025,117,Cons. Semi,Shammilka Miranda,Cumberlands,Fall,2:42,Camille Fournier,Texas Wesleyan
2025,117,Cons. Semi,Mayangelie Colon Davila,Grand View,Fall,2:44,Jasmine Howard,Southern Oregon
2025,124,Cons. Semi,Joanna Vanderwood,William Penn,Fall,2:19,Rose Kaplan,Indiana Tech
2025,124,Cons. Semi,Catharine Campbell,Grand View,Dec,8-6,Jasmina Immaeva,Missouri Valley
2025,131,Cons. Semi,Mercy Adekuoroye,Wayland Baptist,Dec,11-5,Sarah Savidge,Life
2025,131,Cons. Semi,Carolina Moreno,Southern Oregon,TF,12-2,Olivia Mottley,Life
2025,138,Cons. Semi,Reagen Gallaway,Hastings,Fall,4:51,Serenity De La Garza,Missouri Valley
2025,138,Cons. Semi,Samantha Barragan,Texas Wesleyan,Dec,9-9,Jordan Suarez,Wayland Baptist
2025,145,Cons. Semi,Liv Wieber,Eastern Oregon,Fall,5:21,Bridgette Sotomayor,Doane
2025,145,Cons. Semi,Sevreign Aumua,Missouri Valley,Fall,2:51,Aubrey Yauger,Texas Wesleyan
2025,160,Cons. Semi,Micah Fisher,Cumberlands,Inj.,4:07,Allyssa Johnson,Jamestown
2025,160,Cons. Semi,Flor Parker Borrero,Evergreen State,Fall,1:36,Josette Partney,Missouri Baptist
2025,180,Cons. Semi,Jannell Avila,Baker,Dec,5-1,Lillian Gradillas-Flores,Southern Oregon
2025,180,Cons. Semi,India Page,Lindsey Wilson,Dec,7-0,Liliana Vergara,Campbellsville
2025,207,Cons. Semi,Hannah Jackson,Ottawa,Fall,3:51,Kathryn Hingano,Southern Oregon
2025,207,Cons. Semi,Olivia Brown,Grand View,Dec,7-0,MaQuoia Bernabe,Cumberlands
2025,103,3rd Place Match,Judy Sandoval,Grand View,Fall,0:39,Makayla Young,Indiana Tech
2025,103,5th Place Match,Alexis Hatfield,Avila,FF,Angelina,Casteneda,Cumberlands
2025,103,7th Place Match,Karina Vang,Doane,Inj.,0:17,Sofia Abramson,Oklahoma City
2025,110,3rd Place Match,Paige Morales,Providence,TF,10-0,Tehani Soares,Indiana Tech
2025,110,5th Place Match,Emma Baertlein,Southern Oregon,Dec,3-0,Alexsys Jacquez,Saint Mary
2025,110,7th Place Match,Tristan Nitta,Grand View,Inj.,6:00,Nizhoni Tallman-Olney,Evergreen State
2025,117,3rd Place Match,Shammilka Miranda,Cumberlands,TF,11-0,Mayangelie Colon Davila,Grand View
2025,117,5th Place Match,Jasmine Howard,Southern Oregon,Dec,7-4,Camille Fournier,Texas Wesleyan
2025,117,7th Place Match,Katherine Heath,Baker,Dec,10-6,Icart Galumette,Campbellsville
2025,124,3rd Place Match,Joanna Vanderwood,William Penn,Dec,5-1,Catharine Campbell,Grand View
2025,124,5th Place Match,Jasmina Immaeva,Missouri Valley,TF,10-0,Rose Kaplan,Indiana Tech
2025,124,7th Place Match,Maya Davis,Grand View,TF,13-2,Ariana Martinez,Life
2025,131,3rd Place Match,Mercy Adekuoroye,Wayland Baptist,Dec,15-6,Carolina Moreno,Southern Oregon
2025,131,5th Place Match,Olivia Mottley,Life,Inj.,0:00,Sarah Savidge,Life
2025,131,7th Place Match,Devin Patton,William Penn,Dec,14-12,Larissa Kaz,Hastings
2025,138,3rd Place Match,Samantha Barragan,Texas Wesleyan,Fall,2:27,Reagen Gallaway,Hastings
2025,138,5th Place Match,Jordan Suarez,Wayland Baptist,Fall,3:33,Serenity De La Garza,Missouri Valley
2025,138,7th Place Match,Isabelle Hawley,William Penn,Fall,1:21,Natalia Posada,Oklahoma City
2025,145,3rd Place Match,Liv Wieber,Eastern Oregon,Fall,2:54,Sevreign Aumua,Missouri Valley
2025,145,5th Place Match,Bridgette Sotomayor,Doane,Fall,4:33,Aubrey Yauger,Texas Wesleyan
2025,145,7th Place Match,Alivia Ming,Cumberlands,DQ,Anastasia,Hardin,Missouri Baptist
2025,160,3rd Place Match,Flor Parker Borrero,Evergreen State,Fall,1:28,Micah Fisher,Cumberlands
2025,160,5th Place Match,Josette Partney,Missouri Baptist,Inj.,0:00,Allyssa Johnson,Jamestown
2025,160,7th Place Match,Aspen Barber,Doane,Fall,2:08,Abigail Sebesta,Ottawa
2025,180,3rd Place Match,Jannell Avila,Baker,Fall,5:23,India Page,Lindsey Wilson
2025,180,5th Place Match,Liliana Vergara,Campbellsville,Fall,0:27,Lillian Gradillas-Flores,Southern Oregon
2025,180,7th Place Match,Reka Busa,Life,Fall,0:43,America Lopez,William Penn
2025,207,3rd Place Match,Olivia Brown,Grand View,Dec,6-0,Hannah Jackson,Ottawa
2025,207,5th Place Match,MaQuoia Bernabe,Cumberlands,Dec,3-1,Kathryn Hingano,Southern Oregon
2025,207,7th Place Match,Mariyah Brumley,William Woods,Fall,0:47,Alysse Phillips,Lourdes
2025,103,1st Place Match,Erin Hikiji,Providence,Dec,8-2,Alexis Miller,Oklahoma City
2025,110,1st Place Match,Stefana Jelacic,Lourdes,Dec,7-2,Anaya Falcon,Life
2025,117,1st Place Match,Christianah Ogunsanya,William Penn,Dec,8-0,Salyna Shotwell,Life
2025,124,1st Place Match,Cristelle Rodriguez,Doane,Dec,5-5,Katie Gomez,Cumberlands
2025,131,1st Place Match,Jumoke Adekoye,Dickinson State,Dec,5-3,Xochitl Mota-Pettis,Missouri Valley
2025,138,1st Place Match,Zaynah McBryde,Life,TF,10-0,Waipuilani Estrella-Beauchamp,Providence
2025,145,1st Place Match,Esther Kolawole,William Penn,Dec,12-5,Jamilah McBryde,Life
2025,160,1st Place Match,Latifah McBryde,Life,Dec,7-2,Darby Weidl,Ottawa
2025,180,1st Place Match,Ashley Lekas,Texas Wesleyan,TF,12-2,Kelani Corbett,Missouri Valley
2025,207,1st Place Match,Savannah Isaac,Life,Dec,4-1,Riley Dempewolf,Indiana Tech
2024,101,Finals,Stefana Jelacic,Lourdes (Ohio),VPO1,12-3,Erin Hikiji,Providence (Mont.)
2024,109,Finals,Mia Palumbo,William Penn (Iowa),VPO1,3-1,Jasmine Howard,Texas Wesleyan
2024,116,Finals,Juliana Diaz,Missouri Baptist,VPO1,7-6,Camille Fournier,Texas Wesleyan
2024,123,Finals,Cristelle Rodriguez,Doane (Neb.),VSU,10-0 1:38,Maya Davis,Grand View (Iowa)
2024,130,Finals,Carolina Moreno,Southern Oregon,VSU,11-0 4:07,Sarah Savidge,Life (Ga.)
2024,136,Finals,Adaugo Nwachukwu,William Penn (Iowa),VFA,2:16 9-2,Zaynah McBryde,Life (Ga.)
2024,143,Finals,Jamilah McBryde,Life (Ga.),VSU,10-0 2:50,Emma Walker,Campbellsville (Ky.)
2024,155,Finals,Caitlyn Davis,Southern Oregon,VPO1,4-2,Latifah McBryde,Life (Ga.)
2024,170,Finals,Ashley Lekas,William Penn (Iowa),VPO1,4-2,Abby McIntyre,Grand View (Iowa)
2024,191,Finals,Tavia Heidelberg-Tillitson,Menlo (Calif.),VPO1,4-3,Joanna Hendricks,Waldorf (Iowa)
2024,101,Semi-Finals,Erin Hikiji,Providence (Mont.),VFA,1:47 10-0,Esther Walker,Midland University (Neb.)
2024,101,Semi-Finals,Stefana Jelacic,Lourdes (Ohio),VSU1,12-1 4:00,Kayla McKinley-Johnson,Menlo (Calif.)
2024,109,Semi-Finals,Mia Palumbo,William Penn (Iowa),VPO1,10-6,Paige Morales,Providence (Mont.)
2024,109,Semi-Finals,Jasmine Howard,Texas Wesleyan,VPO,8-0,Diana Gonzalez,Life (Ga.)
2024,116,Semi-Finals,Juliana Diaz,Missouri Baptist,VPO1,7-4,Katherine Heath,Baker (Kan.)
2024,116,Semi-Finals,Camille Fournier,Texas Wesleyan,VSU1,12-1 3:42,Avery Ashley,Oklahoma City
2024,123,Semi-Finals,Cristelle Rodriguez,Doane (Neb.),VSU,10-0 1:37,Sophia Smith,Oklahoma City
2024,123,Semi-Finals,Maya Davis,Grand View (Iowa),VPO,9-0,Joanna Vanderwood,William Penn (Iowa)
2024,130,Semi-Finals,Carolina Moreno,Southern Oregon,VSU,10-0 3:36,Alysaa Randles,Providence (Mont.)
2024,130,Semi-Finals,Sarah Savidge,Life (Ga.),VPO1,6-4,Janiah Jones,Missouri Baptist
2024,136,Semi-Finals,Adaugo Nwachukwu,William Penn (Iowa),VFA,4:58 16-6,Waipuilani Estrella-Beauchamp,Providence (Mont.)
2024,136,Semi-Finals,Zaynah McBryde,Life (Ga.),DSQ,Andrea,Schlabach,Grand View (Iowa)
2024,143,Semi-Finals,Jamilah McBryde,Life (Ga.),VSU,10-0,Madison Diaz,Grand View (Iowa)
2024,143,Semi-Finals,Emma Walker,Campbellsville (Ky.),VPO1,6-2,Bella Amaro,Southern Oregon
2024,155,Semi-Finals,Caitlyn Davis,Southern Oregon,VSU,13-0 5:34,Flor Parker-Borreo,Evergreen (Wash.)
2024,155,Semi-Finals,Latifah McBryde,Life (Ga.),VSU,10-0 4:24,Liv Wieber,Eastern Oregon
2024,170,Semi-Finals,Abby McIntyre,Grand View (Iowa),VSU,10-0 4:55,Kalila Shrive,Menlo (Calif.)
2024,170,Semi-Finals,Ashley Lekas,William Penn (Iowa),VPO,8-0,Shenita Lawson,Southern Oregon
2024,191,Semi-Finals,Tavia Heidelberg-Tillitson,Menlo (Calif.),VPO1,3-1,MaQuoia Bernabe,Cumberlands (Ky.)
2024,191,Semi-Finals,Joanna Hendricks,Waldorf (Iowa),VPO1,9-4,Lessly Sandoval,St. Mary (Kan.)
2024,101,Quarter-Finals,Erin Hikiji,Providence (Mont.),VSU,10-0 1:03,Riley Banyas,Campbellsville (Ky.)
2024,101,Quarter-Finals,Stefana Jelacic,Lourdes (Ohio),VSU,10-0 0:44,Elizabeth Dosado,Cumberlands (Ky.)
2024,101,Quarter-Finals,Kayla McKinley-Johnson,Menlo (Calif.),VIN,0:03 0-0,Zoe Omura,Midland University (Neb.)
2024,101,Quarter-Finals,Esther Walker,Midland University (Neb.),VPO1,3-1,Alyssa Quezaire,Missouri Baptist
2024,109,Quarter-Finals,Mia Palumbo,William Penn (Iowa),VSU,10-0 2:15,Tristan Nitta,Grand View (Iowa)
2024,109,Quarter-Finals,Diana Gonzalez,Life (Ga.),VPO1,12-7,Alexsys Jacquez,St. Mary (Kan.)
2024,109,Quarter-Finals,Jasmine Howard,Texas Wesleyan,VPO1,10-3,Tehani Soares,Indiana Tech
2024,109,Quarter-Finals,Paige Morales,Providence (Mont.),VPO1,10-4,Emma Baertlein,Southern Oregon
2024,116,Quarter-Finals,Juliana Diaz,Missouri Baptist,VSU,11-0 4:42,Marissa Kurtz,Southern Oregon
2024,116,Quarter-Finals,Avery Ashley,Oklahoma City,VSU,10-0 1:18,Ariana Martinez,Life (Ga.)
2024,116,Quarter-Finals,Camille Fournier,Texas Wesleyan,VPO1,13-5,Icart Galumette,Campbellsville (Ky.)
2024,116,Quarter-Finals,Katherine Heath,Baker (Kan.),VPO1,7-6,Ajayzee Zaballos,Menlo (Calif.)
2024,123,Quarter-Finals,Cristelle Rodriguez,Doane (Neb.),VSU1,12-2 0:43,Catharine Campbell,Grand View (Iowa)
2024,123,Quarter-Finals,Joanna Vanderwood,William Penn (Iowa),VPO1,11-10,Alana Vivas,Menlo (Calif.)
2024,123,Quarter-Finals,Maya Davis,Grand View (Iowa),VPO1,8-4,Emily Paulino,Midland University (Neb.)
2024,123,Quarter-Finals,Sophia Smith,Oklahoma City,VPO,9-0,Anna Krejsa,Life (Ga.)
2024,130,Quarter-Finals,Carolina Moreno,Southern Oregon,VSU,10-0 2:29,Lillian Avalos,Vanguard (Calif.)
2024,130,Quarter-Finals,Sarah Savidge,Life (Ga.),VSU,10-0 2:18,Devin Patton,William Penn (Iowa)
2024,130,Quarter-Finals,Janiah Jones,Missouri Baptist,VPO1,4-2,Louisa Schwab,Menlo (Calif.)
2024,130,Quarter-Finals,Alysaa Randles,Providence (Mont.),VFA,4:10 6-10,Elizabeth Duvall,Texas Wesleyan
2024,136,Quarter-Finals,Adaugo Nwachukwu,William Penn (Iowa),VFA,3:33 8-0,Stephanie Chavez,Menlo (Calif.)
2024,136,Quarter-Finals,Andrea Schlabach,Grand View (Iowa),VFA,3:22 11-1,River Todd,Vanguard (Calif.)
2024,136,Quarter-Finals,Zaynah McBryde,Life (Ga.),VSU,11-0 1:32,Addison Messerly,Campbellsville (Ky.)
2024,136,Quarter-Finals,Waipuilani Estrella-Beauchamp,Providence (Mont.),VPO1,9-3,Tiyahna Askew,Missouri Baptist
2024,143,Quarter-Finals,Jamilah McBryde,Life (Ga.),VSU,11-0 2:09,Micah Fisher,Cumberlands (Ky.)
2024,143,Quarter-Finals,Bella Amaro,Southern Oregon,VPO1,4-3,Mea Mohler,Texas Wesleyan
2024,143,Quarter-Finals,Emma Walker,Campbellsville (Ky.),VPO1,6-5,Krista Warren,Grand View (Iowa)
2024,143,Quarter-Finals,Madison Diaz,Grand View (Iowa),VFA,2:31 6-1,Alexandra Lopez,Menlo (Calif.)
2024,155,Quarter-Finals,Caitlyn Davis,Southern Oregon,VPO1,3-1,Sadie Antoque,Providence (Mont.)
2024,155,Quarter-Finals,Latifah McBryde,Life (Ga.),VSU1,18-5 3:48,Taydem Khamjoi,Texas Wesleyan
2024,155,Quarter-Finals,Liv Wieber,Eastern Oregon,VPO1,3-2,Shannon Workinger,Menlo (Calif.)
2024,155,Quarter-Finals,Flor Parker-Borreo,Evergreen (Wash.),VFA,1:01 4-1,Josette Partney,Missouri Baptist
2024,170,Quarter-Finals,Abby McIntyre,Grand View (Iowa),VFA,0:38 4-0,Maggie Graham,Life (Ga.)
2024,170,Quarter-Finals,Ashley Lekas,William Penn (Iowa),VSU,10-0 1:05,Bo Geibe,Siena Heights (Mich.)
2024,170,Quarter-Finals,Shenita Lawson,Southern Oregon,VFA,2:27 4-0,Faith Macharia,Missouri Baptist
2024,170,Quarter-Finals,Kalila Shrive,Menlo (Calif.),VFA,2:20 8-0,Aalyah Villarreal,Texas Wesleyan
2024,191,Quarter-Finals,Tavia Heidelberg-Tillitson,Menlo (Calif.),VPO1,5-1,Olivia Brown,Grand View (Iowa)
2024,191,Quarter-Finals,Joanna Hendricks,Waldorf (Iowa),VFA,1:11 4-0,Jannell Avila,Baker (Kan.)
2024,191,Quarter-Finals,Lessly Sandoval,St. Mary (Kan.),VFA,1:39 10-6,Marissa Patterson,Hastings (Neb.)
2024,191,Quarter-Finals,MaQuoia Bernabe,Cumberlands (Ky.),VFA,4:11 3-2,Kenisha Jacsaint,Doane (Neb.)
2024,101,Round of 16,Erin Hikiji,Providence (Mont.),VSU,10-0 2:27,Karina Vang,Doane (Neb.)
2024,101,Round of 16,Stefana Jelacic,Lourdes (Ohio),VFA,1:08 5-0,Liana Ferreira,Southern Oregon
2024,101,Round of 16,Kayla McKinley-Johnson,Menlo (Calif.),VSU,10-0 1:57,Sage Beltran,Missouri Valley College
2024,101,Round of 16,Esther Walker,Midland University (Neb.),VSU1,13-3 4:00,Devyn Gomez,Life (Ga.)
