year,weight_class,round,winner,winner_school,win_method,score,loser,loser_school
2026,110,Cons. Round 2,Chloe Brewis,Hastings,tech fall,TF 13-0,De`yton Young,Missouri Baptist
2026,110,Cons. Round 2,Myriam Riley,Dickinson State,decision,Dec 19-14,Raelynn O`Connor,Hastings
2026,110,Cons. Round 2,Julia Snyder,Rochester Christian,injury default,Inj. 0:00,Nizhoni Tallman,Evergreen State
2026,110,Cons. Round 2,Kylie Robledo,Baker,tech fall,TF 10-0,Raquel Garcia,Missouri Valley
2026,110,Cons. Round 2,Makenize Smith,Indiana Tech,decision,Dec 10-2,Diana Gonzalez,Life
2026,110,Cons. Round 2,Kayla Shota,Providence,tech fall,TF 10-0,Kaylynn Martin,Friends
2026,110,Cons. Round 2,Reagan Thomas,Lindsey Wilson,decision,Dec 6-5,Gracie Elliott,Texas Wesleyan
2026,110,Champ. Round 2,Mia Palumbo,William Penn,tech fall,TF 10-0,Reagan Thomas,Lindsey Wilson
2026,110,Champ. Round 2,Emma Jones,Indiana Tech,fall,Fall 0:50,Kayla Shota,Providence
2026,110,Champ. Round 2,Jenna Gerhardt,Dickinson State,decision,Dec 4-0,Diana Gonzalez,Life
2026,110,Champ. Round 2,Kayla McNatt,Arizona Christian,decision,Dec 6-6,Tristan Nitta,Grand View
2026,110,Champ. Round 2,Paige Morales,Providence,decision,Dec 9-2,Kylie Robledo,Baker
2026,110,Champ. Round 2,Avy Perez,William Penn,decision,Dec 9-1,Nizhoni Tallman,Evergreen State
2026,110,Champ. Round 2,Eliana Martinez,Grand View,tech fall,TF 12-0,Myriam Riley,Dickinson State
2026,110,Champ. Round 2,Avery Ashley,Oklahoma City,forfeit,FF,Chloe Brewis,Hastings
2026,110,Champ. Round 1,Mia Palumbo,William Penn,fall,Fall 1:54,De`yton Young,Missouri Baptist
2026,110,Champ. Round 1,Kayla Shota,Providence,tech fall,TF 12-0,Raelynn O`Connor,Hastings
2026,110,Champ. Round 1,Diana Gonzalez,Life,decision,Dec 7-2,Julia Snyder,Rochester Christian
2026,110,Champ. Round 1,Tristan Nitta,Grand View,fall,Fall 1:37,Raquel Garcia,Missouri Valley
2026,110,Champ. Round 1,Avy Perez,William Penn,decision,Dec 7-1,Makenize Smith,Indiana Tech
2026,110,Champ. Round 1,Eliana Martinez,Grand View,fall,Fall 0:44,Kaylynn Martin,Friends
2026,110,Champ. Round 1,Chloe Brewis,Hastings,decision,Dec 8-5,Gracie Elliott,Texas Wesleyan
2026,117,1st Place Match,Christianah Ogunsanya,William Penn,decision,Dec 5-0,Salyna Shotwell,Life
2026,117,3rd Place Match,Zao Estrada,Missouri Valley,tech fall,TF 10-0,Cailin Campbell,Grand View
2026,117,5th Place Match,Grace Lashinsky,Lindsey Wilson,fall,Fall 4:13,Carolina Rios,Texas Wesleyan
2026,117,7th Place Match,Joely Slyter,Providence,tech fall,TF 12-1,Angelica Vicente Gonzalez,Doane
2026,117,Cons. Semi,Zao Estrada,Missouri Valley,tech fall,TF 12-1,Carolina Rios,Texas Wesleyan
2026,117,Cons. Semi,Cailin Campbell,Grand View,tech fall,TF 11-0,Grace Lashinsky,Lindsey Wilson
2026,117,Cons. Round 5,Carolina Rios,Texas Wesleyan,decision,Dec 3-0,Angelica Vicente Gonzalez,Doane
2026,117,Cons. Round 5,Grace Lashinsky,Lindsey Wilson,decision,Dec 5-4,Joely Slyter,Providence
2026,117,Semifinal,Christianah Ogunsanya,William Penn,tech fall,TF 13-1,Cailin Campbell,Grand View
2026,117,Semifinal,Salyna Shotwell,Life,fall,Fall 2:20,Zao Estrada,Missouri Valley
2026,117,Cons. Round 4,Carolina Rios,Texas Wesleyan,fall,Fall 0:28,Sigrun Metzger,Ottawa
2026,117,Cons. Round 4,Angelica Vicente Gonzalez,Doane,decision,Dec 7-3,Addison Saporito,Ottawa
2026,117,Cons. Round 4,Joely Slyter,Providence,decision,Dec 6-2,Mayangelie Colon,Grand View
2026,117,Cons. Round 4,Grace Lashinsky,Lindsey Wilson,tech fall,TF 10-0,Chloe Herrick,Baker
2026,117,Cons. Round 3,Sigrun Metzger,Ottawa,tech fall,TF 12-2,Gloria Diaz,Eastern Oregon
2026,117,Cons. Round 3,Angelica Vicente Gonzalez,Doane,fall,Fall 1:01,Taylor Hood,Midland
2026,117,Cons. Round 3,Mayangelie Colon,Grand View,fall,Fall 1:53,Sarah Pineda,Missouri Valley
2026,117,Cons. Round 3,Chloe Herrick,Baker,fall,Fall 5:24,Callie Payton,Lindsey Wilson
2026,117,Quarterfinal,Christianah Ogunsanya,William Penn,tech fall,TF 11-0,Addison Saporito,Ottawa
2026,117,Quarterfinal,Cailin Campbell,Grand View,tech fall,TF 11-0,Carolina Rios,Texas Wesleyan
2026,117,Quarterfinal,Zao Estrada,Missouri Valley,tech fall,TF 10-0,Grace Lashinsky,Lindsey Wilson
2026,117,Quarterfinal,Salyna Shotwell,Life,fall,Fall 5:18,Joely Slyter,Providence
2026,117,Cons. Round 2,Sigrun Metzger,Ottawa,fall,Fall 1:30,Yusneiry Agrazal,Central Methodist
2026,117,Cons. Round 2,Angelica Vicente Gonzalez,Doane,fall,Fall 0:29,Lakota Rogers,Bismarck State
2026,117,Cons. Round 2,Mayangelie Colon,Grand View,tech fall,TF 13-2,Mariah Dillard,Wayland Baptist
2026,117,Cons. Round 2,Callie Payton,Lindsey Wilson,tech fall,TF 12-2,Mikayla Jardine,Dickinson State
2026,117,Champ. Round 2,Christianah Ogunsanya,William Penn,tech fall,TF 10-0,Callie Payton,Lindsey Wilson
2026,117,Champ. Round 2,Addison Saporito,Ottawa,decision,Dec 6-2,Chloe Herrick,Baker
2026,117,Champ. Round 2,Carolina Rios,Texas Wesleyan,fall,Fall 1:56,Mayangelie Colon,Grand View
2026,117,Champ. Round 2,Cailin Campbell,Grand View,tech fall,TF 12-2,Sarah Pineda,Missouri Valley
2026,117,Champ. Round 2,Zao Estrada,Missouri Valley,tech fall,TF 10-0,Angelica Vicente Gonzalez,Doane
2026,117,Champ. Round 2,Grace Lashinsky,Lindsey Wilson,tech fall,TF 10-0,Taylor Hood,Midland
2026,117,Champ. Round 2,Joely Slyter,Providence,fall,Fall 1:06,Sigrun Metzger,Ottawa
2026,117,Champ. Round 2,Salyna Shotwell,Life,fall,Fall 1:02,Gloria Diaz,Eastern Oregon
2026,117,Champ. Round 1,Chloe Herrick,Baker,fall,Fall 5:03,Yusneiry Agrazal,Central Methodist
2026,117,Champ. Round 1,Cailin Campbell,Grand View,fall,Fall 1:02,Lakota Rogers,Bismarck State
2026,117,Champ. Round 1,Grace Lashinsky,Lindsey Wilson,fall,Fall 2:20,Mariah Dillard,Wayland Baptist
2026,117,Champ. Round 1,Salyna Shotwell,Life,fall,Fall 0:58,Mikayla Jardine,Dickinson State
2026,124,1st Place Match,Cristelle Rodriguez,Doane,tech fall,TF 10-0,Rose Kaplan,Indiana Tech
2026,124,3rd Place Match,Vicky Baez-Dilone,William Penn,fall,Fall 0:17,Rei Ogden,Bismarck State
2026,124,5th Place Match,Kamilah Brooks,Lindsey Wilson,fall,Fall 5:21,Alyssa Randles,Providence
2026,124,7th Place Match,Catherine Campbell,Grand View,tech fall,TF 11-0,Lola Barkby,Indiana Tech
2026,124,Cons. Semi,Rei Ogden,Bismarck State,decision,Dec 8-3,Kamilah Brooks,Lindsey Wilson
2026,124,Cons. Semi,Vicky Baez-Dilone,William Penn,fall,Fall 1:01,Alyssa Randles,Providence
2026,124,Cons. Round 5,Rei Ogden,Bismarck State,fall,Fall 4:28,Catherine Campbell,Grand View
2026,124,Cons. Round 5,Alyssa Randles,Providence,tech fall,TF 10-0,Lola Barkby,Indiana Tech
2026,124,Semifinal,Cristelle Rodriguez,Doane,tech fall,TF 11-0,Vicky Baez-Dilone,William Penn
2026,124,Semifinal,Rose Kaplan,Indiana Tech,decision,Dec 2-1,Kamilah Brooks,Lindsey Wilson
2026,124,Cons. Round 4,Rei Ogden,Bismarck State,fall,Fall 2:03,Anna Krejsa,Life
2026,124,Cons. Round 4,Catherine Campbell,Grand View,tech fall,TF 10-0,Kaitlin Castro,Cumberlands
2026,124,Cons. Round 4,Lola Barkby,Indiana Tech,fall,Fall 2:29,Tati Paragas,William Penn
2026,124,Cons. Round 4,Alyssa Randles,Providence,tech fall,TF 12-2,Maya Davis,Grand View
2026,124,Cons. Round 3,Rei Ogden,Bismarck State,decision,Dec 14-9,Addison Messerly,Campbellsville
2026,124,Cons. Round 3,Catherine Campbell,Grand View,decision,Dec 2-0,Kaylee Annis,Southern Oregon
