weight_class,round,winner,winner_school,win_method,score,loser,loser_school
117,Cons. Round 4,Shammilka Miranda,Cumberlands,Fall,0:58,Irma Retano,Eastern Oregon
117,Cons. Round 4,Katherine Heath,Baker,TF,12-2,Jamesa Robinson,Brewton-Parker
117,Cons. Round 4,Mayangelie Colon Davila,Grand View,Fall,3:45,Callie Payton,Lindsey Wilson
124,Cons. Round 4,Rose Kaplan,Indiana Tech,Dec,6-5,Alyssa Randles,Providence
124,Cons. Round 4,Ariana Martinez,Life,DQ,Kamilah,Brooks,Lindsey Wilson
124,Cons. Round 4,Catharine Campbell,Grand View,TF,11-0,Ellabelle Taylor,Evergreen State
124,Cons. Round 4,Maya Davis,Grand View,Fall,2:06,Malia Welch,Southern Oregon
131,Cons. Round 4,Sarah Savidge,Life,Fall,3:52,Olivia Messerly,Campbellsville
131,Cons. Round 4,Devin Patton,William Penn,TF,11-0,Andrea Hernandez,Indiana Tech
131,Cons. Round 4,Larissa Kaz,Hastings,TF,13-2,Ashley Whetzal,Missouri Valley
131,Cons. Round 4,Olivia Mottley,Life,TF,11-0,Ashlee Palimoo,Doane
138,Cons. Round 4,Serenity De La Garza,Missouri Valley,Fall,2:08,Kendall Bostelman,William Penn
138,Cons. Round 4,Isabelle Hawley,William Penn,Dec,2-1,Gabriella Perez,Campbellsville
138,Cons. Round 4,Natalia Posada,Oklahoma City,Dec,6-4,Kori Campbell,Lindsey Wilson
138,Cons. Round 4,Jordan Suarez,Wayland Baptist,Dec,8-4,Livia Swift,Ottawa
145,Cons. Round 4,Bridgette Sotomayor,Doane,Fall,4:41,Krista Warren,Grand View
145,Cons. Round 4,Anastasia Hardin,Missouri Baptist,Fall,5:16,Aspen Dodge,Providence
145,Cons. Round 4,Alivia Ming,Cumberlands,Dec,4-2,Josselinne Campos,Lindsey Wilson
145,Cons. Round 4,Aubrey Yauger,Texas Wesleyan,Dec,5-2,Esther Han,Providence
160,Cons. Round 4,Micah Fisher,Cumberlands,TF,11-0,Kylee Tait,Campbellsville
160,Cons. Round 4,Aspen Barber,Doane,Dec,8-1,Alexa Wolf,William Penn
160,Cons. Round 4,Flor Parker Borrero,Evergreen State,Fall,1:28,Taydem Khamjoi,Texas Wesleyan
160,Cons. Round 4,Abigail Sebesta,Ottawa,Inj.,0:00,Quilaztli Miguel,Southern Oregon
180,Cons. Round 4,America Lopez,William Penn,TF,10-0,Bailey Dennis,Southern Oregon
180,Cons. Round 4,Lillian Gradillas-Flores,Southern Oregon,Dec,7-0,Saiheron Preciado-Meza,Cumberlands
180,Cons. Round 4,India Page,Lindsey Wilson,Fall,1:01,Siara Arrington,Ottawa
180,Cons. Round 4,Reka Busa,Life,Fall,0:26,Catherine McNulty,Indiana Tech
207,Cons. Round 4,Hannah Jackson,Ottawa,Fall,1:05,Brianna Staebler,Campbellsville
207,Cons. Round 4,Mariyah Brumley,William Woods,Fall,2:13,Hayeni Costa,Lindsey Wilson
207,Cons. Round 4,MaQuoia Bernabe,Cumberlands,Fall,3:00,Bella Porcelli,Grand View
207,Cons. Round 4,Alysse Phillips,Lourdes,Fall,5:44,Leilani Sanchez,Wayland Baptist
103,Semifinal,Erin Hikiji,Providence,TF,10-0,Judy Sandoval,Grand View
103,Semifinal,Alexis Miller,Oklahoma City,Fall,2:27,Makayla Young,Indiana Tech
110,Semifinal,Anaya Falcon,Life,Dec,3-1,Emma Baertlein,Southern Oregon
110,Semifinal,Stefana Jelacic,Lourdes,TF,11-1,Paige Morales,Providence
117,Semifinal,Christianah Ogunsanya,William Penn,Dec,11-2,Jasmine Howard,Southern Oregon
117,Semifinal,Salyna Shotwell,Life,Fall,5:07,Camille Fournier,Texas Wesleyan
124,Semifinal,Cristelle Rodriguez,Doane,TF,11-0,Jasmina Immaeva,Missouri Valley
124,Semifinal,Katie Gomez,Cumberlands,Dec,8-2,Joanna Vanderwood,William Penn
131,Semifinal,Jumoke Adekoye,Dickinson State,Dec,3-1,Carolina Moreno,Southern Oregon
131,Semifinal,Xochitl Mota-Pettis,Missouri Valley,Fall,4:42,Mercy Adekuoroye,Wayland Baptist
138,Semifinal,Zaynah McBryde,Life,Dec,8-0,Samantha Barragan,Texas Wesleyan
138,Semifinal,Waipuilani Estrella-Beauchamp,Providence,TF,12-2,Reagen Gallaway,Hastings
145,Semifinal,Jamilah McBryde,Life,TF,14-4,Sevreign Aumua,Missouri Valley
145,Semifinal,Esther Kolawole,William Penn,TF,11-0,Liv Wieber,Eastern Oregon
160,Semifinal,Latifah McBryde,Life,Dec,7-2,Josette Partney,Missouri Baptist
160,Semifinal,Darby Weidl,Ottawa,Fall,5:27,Allyssa Johnson,Jamestown
180,Semifinal,Ashley Lekas,Texas Wesleyan,TF,10-0,Liliana Vergara,Campbellsville
180,Semifinal,Kelani Corbett,Missouri Valley,Fall,3:39,Jannell Avila,Baker
207,Semifinal,Riley Dempewolf,Indiana Tech,Dec,2-1,Olivia Brown,Grand View
207,Semifinal,Savannah Isaac,Life,Dec,7-0,Kathryn Hingano,Southern Oregon
103,Cons. Round 5,Angelina Casteneda,Cumberlands,TF,10-0,Karina Vang,Doane
103,Cons. Round 5,Alexis Hatfield,Avila,Fall,1:59,Sofia Abramson,Oklahoma City
110,Cons. Round 5,Alexsys Jacquez,Saint Mary,TF,11-0,Nizhoni Tallman-Olney,Evergreen State
110,Cons. Round 5,Tehani Soares,Indiana Tech,Dec,3-3,Tristan Nitta,Grand View
117,Cons. Round 5,Shammilka Miranda,Cumberlands,Fall,2:32,Icart Galumette,Campbellsville
117,Cons. Round 5,Mayangelie Colon Davila,Grand View,TF,11-0,Katherine Heath,Baker
124,Cons. Round 5,Rose Kaplan,Indiana Tech,TF,12-0,Ariana Martinez,Life
124,Cons. Round 5,Catharine Campbell,Grand View,Fall,2:59,Maya Davis,Grand View
131,Cons. Round 5,Sarah Savidge,Life,Dec,10-6,Devin Patton,William Penn
131,Cons. Round 5,Olivia Mottley,Life,Dec,5-1,Larissa Kaz,Hastings
138,Cons. Round 5,Serenity De La Garza,Missouri Valley,Fall,0:33,Isabelle Hawley,William Penn
138,Cons. Round 5,Jordan Suarez,Wayland Baptist,Fall,1:47,Natalia Posada,Oklahoma City
145,Cons. Round 5,Bridgette Sotomayor,Doane,DQ,Anastasia,Hardin,Missouri Baptist
145,Cons. Round 5,Aubrey Yauger,Texas Wesleyan,Fall,3:45,Alivia Ming,Cumberlands
160,Cons. Round 5,Micah Fisher,Cumberlands,Fall,2:34,Aspen Barber,Doane
160,Cons. Round 5,Flor Parker Borrero,Evergreen State,Fall,1:31,Abigail Sebesta,Ottawa
180,Cons. Round 5,Lillian Gradillas-Flores,Southern Oregon,Dec,6-0,America Lopez,William Penn
180,Cons. Round 5,India Page,Lindsey Wilson,Fall,2:53,Reka Busa,Life
207,Cons. Round 5,Hannah Jackson,Ottawa,Dec,8-0,Mariyah Brumley,William Woods
207,Cons. Round 5,MaQuoia Bernabe,Cumberlands,Dec,3-0,Alysse Phillips,Lourdes
103,Cons. Semi,Makayla Young,Indiana Tech,FF,Angelina,Casteneda,Cumberlands
103,Cons. Semi,Judy Sandoval,Grand View,TF,12-0,Alexis Hatfield,Avila
110,Cons. Semi,Paige Morales,Providence,TF,10-0,Alexsys Jacquez,Saint Mary
110,Cons. Semi,Tehani Soares,Indiana Tech,Dec,4-2,Emma Baertlein,Southern Oregon
117,Cons. Semi,Shammilka Miranda,Cumberlands,Fall,2:42,Camille Fournier,Texas Wesleyan
117,Cons. Semi,Mayangelie Colon Davila,Grand View,Fall,2:44,Jasmine Howard,Southern Oregon
124,Cons. Semi,Joanna Vanderwood,William Penn,Fall,2:19,Rose Kaplan,Indiana Tech
124,Cons. Semi,Catharine Campbell,Grand View,Dec,8-6,Jasmina Immaeva,Missouri Valley
131,Cons. Semi,Mercy Adekuoroye,Wayland Baptist,Dec,11-5,Sarah Savidge,Life
131,Cons. Semi,Carolina Moreno,Southern Oregon,TF,12-2,Olivia Mottley,Life
138,Cons. Semi,Reagen Gallaway,Hastings,Fall,4:51,Serenity De La Garza,Missouri Valley
138,Cons. Semi,Samantha Barragan,Texas Wesleyan,Dec,9-9,Jordan Suarez,Wayland Baptist
145,Cons. Semi,Liv Wieber,Eastern Oregon,Fall,5:21,Bridgette Sotomayor,Doane
145,Cons. Semi,Sevreign Aumua,Missouri Valley,Fall,2:51,Aubrey Yauger,Texas Wesleyan
160,Cons. Semi,Micah Fisher,Cumberlands,Inj.,4:07,Allyssa Johnson,Jamestown
160,Cons. Semi,Flor Parker Borrero,Evergreen State,Fall,1:36,Josette Partney,Missouri Baptist
180,Cons. Semi,Jannell Avila,Baker,Dec,5-1,Lillian Gradillas-Flores,Southern Oregon
180,Cons. Semi,India Page,Lindsey Wilson,Dec,7-0,Liliana Vergara,Campbellsville
207,Cons. Semi,Hannah Jackson,Ottawa,Fall,3:51,Kathryn Hingano,Southern Oregon
207,Cons. Semi,Olivia Brown,Grand View,Dec,7-0,MaQuoia Bernabe,Cumberlands
103,3rd Place Match,Judy Sandoval,Grand View,Fall,0:39,Makayla Young,Indiana Tech
103,5th Place Match,Alexis Hatfield,Avila,FF,Angelina,Casteneda,Cumberlands
103,7th Place Match,Karina Vang,Doane,Inj.,0:17,Sofia Abramson,Oklahoma City
110,3rd Place Match,Paige Morales,Providence,TF,10-0,Tehani Soares,Indiana Tech
110,5th Place Match,Emma Baertlein,Southern Oregon,Dec,3-0,Alexsys Jacquez,Saint Mary
110,7th Place Match,Tristan Nitta,Grand View,Inj.,6:00,Nizhoni Tallman-Olney,Evergreen State
117,3rd Place Match,Shammilka Miranda,Cumberlands,TF,11-0,Mayangelie Colon Davila,Grand View
117,5th Place Match,Jasmine Howard,Southern Oregon,Dec,7-4,Camille Fournier,Texas Wesleyan
117,7th Place Match,Katherine Heath,Baker,Dec,10-6,Icart Galumette,Campbellsville
124,3rd Place Match,Joanna Vanderwood,William Penn,Dec,5-1,Catharine Campbell,Grand View
124,5th Place Match,Jasmina Immaeva,Missouri Valley,TF,10-0,Rose Kaplan,Indiana Tech
124,7th Place Match,Maya Davis,Grand View,TF,13-2,Ariana Martinez,Life
131,3rd Place Match,Mercy Adekuoroye,Wayland Baptist,Dec,15-6,Carolina Moreno,Southern Oregon
131,5th Place Match,Olivia Mottley,Life,Inj.,0:00,Sarah Savidge,Life
131,7th Place Match,Devin Patton,William Penn,Dec,14-12,Larissa Kaz,Hastings
138,3rd Place Match,Samantha Barragan,Texas Wesleyan,Fall,2:27,Reagen Gallaway,Hastings
138,5th Place Match,Jordan Suarez,Wayland Baptist,Fall,3:33,Serenity De La Garza,Missouri Valley
138,7th Place Match,Isabelle Hawley,William Penn,Fall,1:21,Natalia Posada,Oklahoma City
145,3rd Place Match,Liv Wieber,Eastern Oregon,Fall,2:54,Sevreign Aumua,Missouri Valley
145,5th Place Match,Bridgette Sotomayor,Doane,Fall,4:33,Aubrey Yauger,Texas Wesleyan
145,7th Place Match,Alivia Ming,Cumberlands,DQ,Anastasia,Hardin,Missouri Baptist
160,3rd Place Match,Flor Parker Borrero,Evergreen State,Fall,1:28,Micah Fisher,Cumberlands
160,5th Place Match,Josette Partney,Missouri Baptist,Inj.,0:00,Allyssa Johnson,Jamestown
160,7th Place Match,Aspen Barber,Doane,Fall,2:08,Abigail Sebesta,Ottawa
180,3rd Place Match,Jannell Avila,Baker,Fall,5:23,India Page,Lindsey Wilson
180,5th Place Match,Liliana Vergara,Campbellsville,Fall,0:27,Lillian Gradillas-Flores,Southern Oregon
180,7th Place Match,Reka Busa,Life,Fall,0:43,America Lopez,William Penn
207,3rd Place Match,Olivia Brown,Grand View,Dec,6-0,Hannah Jackson,Ottawa
207,5th Place Match,MaQuoia Bernabe,Cumberlands,Dec,3-1,Kathryn Hingano,Southern Oregon
207,7th Place Match,Mariyah Brumley,William Woods,Fall,0:47,Alysse Phillips,Lourdes
103,1st Place Match,Erin Hikiji,Providence,Dec,8-2,Alexis Miller,Oklahoma City
110,1st Place Match,Stefana Jelacic,Lourdes,Dec,7-2,Anaya Falcon,Life
117,1st Place Match,Christianah Ogunsanya,William Penn,Dec,8-0,Salyna Shotwell,Life
124,1st Place Match,Cristelle Rodriguez,Doane,Dec,5-5,Katie Gomez,Cumberlands
131,1st Place Match,Jumoke Adekoye,Dickinson State,Dec,5-3,Xochitl Mota-Pettis,Missouri Valley
138,1st Place Match,Zaynah McBryde,Life,TF,10-0,Waipuilani Estrella-Beauchamp,Providence
145,1st Place Match,Esther Kolawole,William Penn,Dec,12-5,Jamilah McBryde,Life
160,1st Place Match,Latifah McBryde,Life,Dec,7-2,Darby Weidl,Ottawa
180,1st Place Match,Ashley Lekas,Texas Wesleyan,TF,12-2,Kelani Corbett,Missouri Valley
207,1st Place Match,Savannah Isaac,Life,Dec,4-1,Riley Dempewolf,Indiana Tech
