weight_class,round,winner,winner_school,win_method,score,loser,loser_school
117,Champ. Round 2,Mayangelie Colon Davila,Grand View,TF,10-0,Mora Peterson,Doane
117,Champ. Round 2,Katherine Heath,Baker,TF,12-1,Icart Galumette,Campbellsville
117,Champ. Round 2,Camille Fournier,Texas Wesleyan,Fall,2:25,Alicia Frank,Providence
124,Champ. Round 2,Cristelle Rodriguez,Doane,Fall,0:48,Tess Barnett,Wayland Baptist
124,Champ. Round 2,Kamilah Brooks,Lindsey Wilson,Dec,9-6,Kylie Robledo,Baker
124,Champ. Round 2,Rose Kaplan,Indiana Tech,Dec,8-3,Catherine Steinkamp,William Penn
124,Champ. Round 2,Jasmina Immaeva,Missouri Valley,Dec,9-2,Catharine Campbell,Grand View
124,Champ. Round 2,Joanna Vanderwood,William Penn,TF,10-0,Peyton Hand,Ottawa
124,Champ. Round 2,Maya Davis,Grand View,TF,15-4,Anna Krejsa,Life
124,Champ. Round 2,Ellabelle Taylor,Evergreen State,Dec,10-7,Alyssa Randles,Providence
124,Champ. Round 2,Katie Gomez,Cumberlands,TF,10-0,Isla Baeza,Missouri Valley
124,Cons. Round 1,Malia Welch,Southern Oregon,TF,11-0,Emily Paulino,Midland
131,Champ. Round 2,Carolina Moreno,Southern Oregon,TF,10-0,Cameron Ortiz,Campbellsville
131,Champ. Round 2,Devin Patton,William Penn,TF,10-0,Ashlee Palimoo,Doane
131,Champ. Round 2,Jumoke Adekoye,Dickinson State,TF,10-0,Bryce White,Oklahoma City
131,Champ. Round 2,Sarah Savidge,Life,TF,11-0,Larissa Kaz,Hastings
131,Champ. Round 2,Xochitl Mota-Pettis,Missouri Valley,TF,10-0,Hannah Seitzinger,Indiana Tech
131,Champ. Round 2,Olivia Mottley,Life,Dec,7-1,Paige Respicio,Providence
131,Champ. Round 2,Ashley Whetzal,Missouri Valley,Fall,4:36,Olivia Messerly,Campbellsville
131,Champ. Round 2,Mercy Adekuoroye,Wayland Baptist,TF,10-0,Mary Jane Porter,Cumberlands
131,Cons. Round 1,Andrea Hernandez,Indiana Tech,Fall,1:37,Keera Lacock,Dakota Wesleyan
138,Champ. Round 2,Zaynah McBryde,Life,TF,10-0,Jade Martin,Baker
138,Champ. Round 2,Gabriella Perez,Campbellsville,Fall,5:16,Araya Boday,Saint Mary
138,Champ. Round 2,Samantha Barragan,Texas Wesleyan,Fall,2:19,Kailey Rees,Providence
138,Champ. Round 2,Kendall Bostelman,William Penn,TF,10-0,Natalia Posada,Oklahoma City
138,Champ. Round 2,Jordan Suarez,Wayland Baptist,Fall,5:04,Addison Messerly,Campbellsville
138,Champ. Round 2,Reagen Gallaway,Hastings,TF,12-1,Isabelle Hawley,William Penn
138,Champ. Round 2,Kori Campbell,Lindsey Wilson,Fall,3:31,Gianna Moreno,Friends
138,Champ. Round 2,Waipuilani Estrella-Beauchamp,Providence,Fall,1:56,Serenity De La Garza,Missouri Valley
145,Champ. Round 2,Jamilah McBryde,Life,TF,10-0,Ann Marie Meiman,Jamestown
145,Champ. Round 2,Aspen Dodge,Providence,Fall,5:15,Lexi Ritchie,Lindsey Wilson
145,Champ. Round 2,Krista Warren,Grand View,Fall,2:26,Lisa Hoeflich,Hastings
145,Champ. Round 2,Sevreign Aumua,Missouri Valley,TF,10-0,Naida Abdijanovic,William Penn
145,Champ. Round 2,Esther Kolawole,William Penn,TF,10-0,Berlyn Davis,Westcliff
145,Champ. Round 2,Aubrey Yauger,Texas Wesleyan,Fall,5:26,Anastasia Hardin,Missouri Baptist
145,Champ. Round 2,Josselinne Campos,Lindsey Wilson,Dec,9-9,Emma Stice,Hastings
145,Champ. Round 2,Liv Wieber,Eastern Oregon,Fall,1:50,Bridgette Sotomayor,Doane
160,Champ. Round 2,Latifah McBryde,Life,TF,10-0,Abigail Sebesta,Ottawa
160,Champ. Round 2,Aspen Barber,Doane,Dec,4-1,Hailey Sutton,Providence
160,Champ. Round 2,Josette Partney,Missouri Baptist,Dec,5-1,Emmalee Spurgeon,Grand View
160,Champ. Round 2,Micah Fisher,Cumberlands,Fall,4:35,Taydem Khamjoi,Texas Wesleyan
160,Champ. Round 2,Quilaztli Miguel,Southern Oregon,TF,11-1,Corin Lowe,Oklahoma City
160,Champ. Round 2,Allyssa Johnson,Jamestown,TF,10-0,Alexa Wolf,William Penn
160,Champ. Round 2,Darby Weidl,Ottawa,TF,10-0,Kylee Tait,Campbellsville
160,Champ. Round 2,Flor Parker Borrero,Evergreen State,Fall,0:34,Kiley Hubby,Dickinson State
180,Champ. Round 2,Ashley Lekas,Texas Wesleyan,TF,10-0,Grace Doering,Indiana Tech
180,Champ. Round 2,Saiheron Preciado-Meza,Cumberlands,FF,ff,ff,Friends
180,Champ. Round 2,Liliana Vergara,Campbellsville,Fall,1:04,Nevaeh Wardlow,Baker
180,Champ. Round 2,Bailey Dennis,Southern Oregon,Dec,8-1,Siara Arrington,Ottawa
180,Champ. Round 2,Kelani Corbett,Missouri Valley,TF,11-0,Lillian Gradillas-Flores,Southern Oregon
180,Champ. Round 2,Reka Busa,Life,TF,11-0,Yazmin Belk,Doane
180,Champ. Round 2,Jannell Avila,Baker,Dec,4-0,America Lopez,William Penn
180,Champ. Round 2,India Page,Lindsey Wilson,Fall,1:03,Marissa Patterson,Hastings
207,Champ. Round 2,Olivia Brown,Grand View,Fall,1:46,Leilani Sanchez,Wayland Baptist
207,Champ. Round 2,Hayeni Costa,Lindsey Wilson,Dec,8-0,Skyler Bruno,Waldorf
207,Champ. Round 2,Hannah Jackson,Ottawa,TF,10-0,Taylor Rickley,Hastings
