weight_class,round,winner,winner_school,win_type,loser,loser_school,score
145,Quarterfinal,Kori Campbell,Lindsey Wilson,decision,Genesis Gilmore,Cumberlands,Dec 5-3
145,Quarterfinal,Holland Wieber,Southern Oregon,decision,Gabriella Perez,Campbellsville,Dec 5-3
145,Quarterfinal,Jamilah McBryde,Life,tech fall,Sarina Bertram,Missouri Valley,TF 10-0
145,Cons. Round 2,Maggie Ortmann,Missouri Baptist,decision,Bridgette Sotomayor,Doane,Dec 6-2
145,Cons. Round 2,Amelia Fawcett,Life,fall,Alexis Means,Friends,Fall 2:26
145,Cons. Round 2,Veil Foreman,Eastern Oregon,fall,Corin Lowe,Oklahoma City,Fall 3:32
145,Cons. Round 2,Hayden Newberg,Indiana Tech,tech fall,Niah Smith,Waldorf,TF 10-0
145,Cons. Round 2,Brooke-Lynn Rush,Missouri Valley,tech fall,Alyvia Ming,Cumberlands,TF 10-0
145,Champ. Round 2,Jordan Suarez,Wayland Baptist,fall,Emma Stice,Hastings,Fall 1:57
145,Champ. Round 2,Madison Diaz,Grand View,decision,Brooke-Lynn Rush,Missouri Valley,Dec 6-4
145,Champ. Round 2,Kori Campbell,Lindsey Wilson,fall,Niah Smith,Waldorf,Fall 1:57
145,Champ. Round 2,Genesis Gilmore,Cumberlands,decision,Naida Abdijanovic,William Penn,Dec 6-4
145,Champ. Round 2,Gabriella Perez,Campbellsville,decision,Elise Twait,Providence,Dec 10-3
145,Champ. Round 2,Holland Wieber,Southern Oregon,decision,Veil Foreman,Eastern Oregon,Dec 4-0
145,Champ. Round 2,Sarina Bertram,Missouri Valley,tech fall,Alexis Means,Friends,TF 10-0
145,Champ. Round 2,Jamilah McBryde,Life,tech fall,Maggie Ortmann,Missouri Baptist,TF 10-0
145,Champ. Round 1,Jordan Suarez,Wayland Baptist,tech fall,Bridgette Sotomayor,Doane,TF 11-0
145,Champ. Round 1,Madison Diaz,Grand View,decision,Amelia Fawcett,Life,Dec 10-9
145,Champ. Round 1,Niah Smith,Waldorf,decision,Corin Lowe,Oklahoma City,Dec 9-4
145,Champ. Round 1,Holland Wieber,Southern Oregon,decision,Hayden Newberg,Indiana Tech,Dec 6-4
145,Champ. Round 1,Alexis Means,Friends,fall,Alyvia Ming,Cumberlands,Fall 3:59
160,1st Place Match,Mercy Adekuoroye,Wayland Baptist,decision,Shannon Workinger,Evergreen State,Dec 6-3
160,3rd Place Match,Latifah McBryde,Life,fall,Vida Boskovic,Southern Oregon,Fall 2:44
160,5th Place Match,Bo Geibe,Indiana Tech,decision,Hailey Sutton,Providence,Dec 8-2
160,7th Place Match,Micah Fisher-Miller,Cumberlands,fall,Darby Weidl,Ottawa,Fall 2:00
160,Cons. Semi,Vida Boskovic,Southern Oregon,fall,Bo Geibe,Indiana Tech,Fall 1:16
160,Cons. Semi,Latifah McBryde,Life,tech fall,Hailey Sutton,Providence,TF 10-0
160,Cons. Round 5,Vida Boskovic,Southern Oregon,decision,Darby Weidl,Ottawa,Dec 9-7
160,Cons. Round 5,Hailey Sutton,Providence,decision,Micah Fisher-Miller,Cumberlands,Dec 8-0
160,Semifinal,Mercy Adekuoroye,Wayland Baptist,decision,Latifah McBryde,Life,Dec 8-6
160,Semifinal,Shannon Workinger,Evergreen State,decision,Bo Geibe,Indiana Tech,Dec 7-4
160,Cons. Round 4,Vida Boskovic,Southern Oregon,fall,Aspen Dodge,Providence,Fall 1:08
160,Cons. Round 4,Darby Weidl,Ottawa,tech fall,Mohagany Casel,Wayland Baptist,TF 11-0
160,Cons. Round 4,Hailey Sutton,Providence,decision,Sierra Mefford,Cumberlands,Dec 10-2
160,Cons. Round 4,Micah Fisher-Miller,Cumberlands,fall,Allyssa Johnson,Central Methodist,Fall 4:39
160,Cons. Round 3,Vida Boskovic,Southern Oregon,fall,Makayla Munoz,Oklahoma City,Fall 2:33
160,Cons. Round 3,Mohagany Casel,Wayland Baptist,decision,Kylee Tait,Campbellsville,Dec 6-1
160,Cons. Round 3,Sierra Mefford,Cumberlands,decision,Ja`Nya Banks,Midland,Dec 9-1
160,Cons. Round 3,Micah Fisher-Miller,Cumberlands,fall,Berlyn Davis,Westcliff,Fall 0:57
160,Quarterfinal,Latifah McBryde,Life,decision,Darby Weidl,Ottawa,Dec 9-0
160,Quarterfinal,Mercy Adekuoroye,Wayland Baptist,fall,Aspen Dodge,Providence,Fall 1:14
160,Quarterfinal,Bo Geibe,Indiana Tech,decision,Allyssa Johnson,Central Methodist,Dec 9-3
160,Quarterfinal,Shannon Workinger,Evergreen State,decision,Hailey Sutton,Providence,Dec 9-0
160,Cons. Round 2,Vida Boskovic,Southern Oregon,decision,Quilaztli Miguel-Lapham,Southern Oregon,Dec 5-3
160,Cons. Round 2,Makayla Munoz,Oklahoma City,fall,Maria Slaughter,Missouri Valley,Fall 4:50
160,Cons. Round 2,Mohagany Casel,Wayland Baptist,decision,Jayla Ford,Hastings,Dec 4-2
160,Cons. Round 2,Sierra Mefford,Cumberlands,decision,Hailee Crosland,Baker,Dec 6-3
160,Cons. Round 2,Micah Fisher-Miller,Cumberlands,fall,Nicole Olson,Grand View,Fall 1:08
160,Cons. Round 2,Berlyn Davis,Westcliff,fall,Justice Thomas,Ottawa,Fall 2:34
160,Champ. Round 2,Latifah McBryde,Life,fall,Berlyn Davis,Westcliff,Fall 1:03
160,Champ. Round 2,Darby Weidl,Ottawa,decision,Micah Fisher-Miller,Cumberlands,Dec 11-5
160,Champ. Round 2,Aspen Dodge,Providence,fall,Ja`Nya Banks,Midland,Fall 4:32
160,Champ. Round 2,Mercy Adekuoroye,Wayland Baptist,tech fall,Hailee Crosland,Baker,TF 10-0
160,Champ. Round 2,Allyssa Johnson,Central Methodist,decision,Mohagany Casel,Wayland Baptist,Dec 5-2
160,Champ. Round 2,Bo Geibe,Indiana Tech,tech fall,Kylee Tait,Campbellsville,TF 10-0
160,Champ. Round 2,Hailey Sutton,Providence,decision,Maria Slaughter,Missouri Valley,Dec 9-2
160,Champ. Round 2,Shannon Workinger,Evergreen State,tech fall,Vida Boskovic,Southern Oregon,TF 10-0
160,Champ. Round 1,Latifah McBryde,Life,tech fall,Quilaztli Miguel-Lapham,Southern Oregon,TF 11-0
160,Champ. Round 1,Darby Weidl,Ottawa,tech fall,Makayla Munoz,Oklahoma City,TF 10-0
160,Champ. Round 1,Hailee Crosland,Baker,fall,Jayla Ford,Hastings,Fall 1:47
160,Champ. Round 1,Mohagany Casel,Wayland Baptist,decision,Sierra Mefford,Cumberlands,Dec 6-2
160,Champ. Round 1,Maria Slaughter,Missouri Valley,fall,Nicole Olson,Grand View,Fall 0:46
160,Champ. Round 1,Vida Boskovic,Southern Oregon,fall,Justice Thomas,Ottawa,Fall 0:45
180,1st Place Match,Piper Fowler,William Penn,fall,Andjela Prijovic,Grand View,Fall 1:09
180,3rd Place Match,Reka Busa,Life,decision,Kathryn Hingano,Southern Oregon,Dec 6-0
180,5th Place Match,Siara Arrington,Ottawa,decision,Hannah Jackson,Ottawa,Dec 5-0
180,7th Place Match,Saiheron Preciado-Meza,Cumberlands,fall,Autumn Perez,Missouri Valley,Fall 1:38
180,Cons. Semi,Kathryn Hingano,Southern Oregon,fall,Siara Arrington,Ottawa,Fall 4:11
180,Cons. Semi,Reka Busa,Life,tech fall,Hannah Jackson,Ottawa,TF 10-0
180,Cons. Round 5,Siara Arrington,Ottawa,decision,Saiheron Preciado-Meza,Cumberlands,Dec 8-6
180,Cons. Round 5,Hannah Jackson,Ottawa,decision,Autumn Perez,Missouri Valley,Dec 5-2
180,Semifinal,Piper Fowler,William Penn,fall,Reka Busa,Life,Fall 2:30
180,Semifinal,Andjela Prijovic,Grand View,tech fall,Kathryn Hingano,Southern Oregon,TF 12-1
180,Cons. Round 4,Siara Arrington,Ottawa,decision,Diara Pomares,William Penn,Dec 5-0
180,Cons. Round 4,Saiheron Preciado-Meza,Cumberlands,tech fall,Margaret Jordan,Baker,TF 11-0
180,Cons. Round 4,Autumn Perez,Missouri Valley,fall,Ambre Chevreau,Wayland Baptist,Fall 2:02
180,Cons. Round 4,Hannah Jackson,Ottawa,decision,Katelyn Lewis,Lindsey Wilson,Dec 5-0
180,Cons. Round 3,Diara Pomares,William Penn,decision,Kassidy Sigda,Providence,Dec 6-1
180,Cons. Round 3,Margaret Jordan,Baker,fall,Abby Piper,William Woods,Fall 0:52
180,Cons. Round 3,Autumn Perez,Missouri Valley,fall,Bailee Nelson,Friends,Fall 1:07
180,Cons. Round 3,Katelyn Lewis,Lindsey Wilson,fall,Payton Sholander,Wayland Baptist,Fall 3:48
180,Quarterfinal,Reka Busa,Life,fall,Saiheron Preciado-Meza,Cumberlands,Fall 4:03
180,Quarterfinal,Piper Fowler,William Penn,fall,Siara Arrington,Ottawa,Fall 1:53
180,Quarterfinal,Andjela Prijovic,Grand View,decision,Hannah Jackson,Ottawa,Dec 5-2
180,Quarterfinal,Kathryn Hingano,Southern Oregon,fall,Ambre Chevreau,Wayland Baptist,Fall 0:40
180,Cons. Round 2,Margaret Jordan,Baker,decision,Johanna Carrasco,Baker,Dec 1-1
180,Cons. Round 2,Autumn Perez,Missouri Valley,fall,Kenlee Fish,Missouri Baptist,Fall 2:22
180,Cons. Round 2,Payton Sholander,Wayland Baptist,fall,Yazmin Belk,Doane,Fall 1:11
180,Champ. Round 2,Reka Busa,Life,fall,Payton Sholander,Wayland Baptist,Fall 0:44
180,Champ. Round 2,Saiheron Preciado-Meza,Cumberlands,decision,Katelyn Lewis,Lindsey Wilson,Dec 3-1
180,Champ. Round 2,Siara Arrington,Ottawa,decision,Kenlee Fish,Missouri Baptist,Dec 6-3
180,Champ. Round 2,Piper Fowler,William Penn,fall,Bailee Nelson,Friends,Fall 1:46
180,Champ. Round 2,Hannah Jackson,Ottawa,decision,Abby Piper,William Woods,Dec 8-2
180,Champ. Round 2,Andjela Prijovic,Grand View,tech fall,Johanna Carrasco,Baker,TF 11-0
180,Champ. Round 2,Ambre Chevreau,Wayland Baptist,tech fall,Kassidy Sigda,Providence,TF 10-0
180,Champ. Round 2,Kathryn Hingano,Southern Oregon,decision,Diara Pomares,William Penn,Dec 4-3
180,Champ. Round 1,Siara Arrington,Ottawa,fall,Margaret Jordan,Baker,Fall 2:24
180,Champ. Round 1,Andjela Prijovic,Grand View,fall,Autumn Perez,Missouri Valley,Fall 4:11
180,Champ. Round 1,Kathryn Hingano,Southern Oregon,fall,Yazmin Belk,Doane,Fall 1:10
207,1st Place Match,Lillian Gradillas-Flores,Southern Oregon,decision,Haley Ward,Avila,Dec 2-1
207,3rd Place Match,Leilani Sanchez,Wayland Baptist,fall,Carla Campos,Texas Wesleyan,Fall 0:56
207,5th Place Match,Selena Mares,Grand View,fall,Madeline Welch,Life,Fall 3:33
207,7th Place Match,Kylee Lindsley,Ottawa,fall,Hayeni Costa,Lindsey Wilson,Fall 5:57
207,Cons. Semi,Leilani Sanchez,Wayland Baptist,fall,Selena Mares,Grand View,Fall 5:26
207,Cons. Semi,Carla Campos,Texas Wesleyan,decision,Madeline Welch,Life,Dec 4-2
207,Cons. Round 5,Leilani Sanchez,Wayland Baptist,fall,Kylee Lindsley,Ottawa,Fall 2:20
207,Cons. Round 5,Madeline Welch,Life,decision,Hayeni Costa,Lindsey Wilson,Dec 5-4
207,Semifinal,Lillian Gradillas-Flores,Southern Oregon,tech fall,Carla Campos,Texas Wesleyan,TF 12-1
207,Semifinal,Haley Ward,Avila,decision,Selena Mares,Grand View,Dec 3-2
207,Cons. Round 4,Kylee Lindsley,Ottawa,fall,Kena Leonard,Ottawa,Fall 1:00
207,Cons. Round 4,Leilani Sanchez,Wayland Baptist,fall,Faith Wooley,Wayland Baptist,Fall 5:35
207,Cons. Round 4,Hayeni Costa,Lindsey Wilson,decision,Naomi Duenas,Cumberlands,Dec 13-8
207,Cons. Round 4,Madeline Welch,Life,decision,Phoebe Burt,William Penn,Dec 11-2
207,Cons. Round 3,Kylee Lindsley,Ottawa,fall,Madeleine Stone,Baker,Fall 3:57
207,Cons. Round 3,Faith Wooley,Wayland Baptist,fall,Kiona Michel,Eastern Oregon,Fall 1:21
207,Cons. Round 3,Hayeni Costa,Lindsey Wilson,decision,Jessica Rodriguez,Doane,Dec 6-2
207,Cons. Round 3,Phoebe Burt,William Penn,decision,Cheyenne Cruce,Lindsey Wilson,Dec 2-1
207,Quarterfinal,Lillian Gradillas-Flores,Southern Oregon,fall,Leilani Sanchez,Wayland Baptist,Fall 5:08
207,Quarterfinal,Carla Campos,Texas Wesleyan,decision,Kena Leonard,Ottawa,Dec 5-3
207,Quarterfinal,Selena Mares,Grand View,fall,Madeline Welch,Life,Fall 1:21
207,Quarterfinal,Haley Ward,Avila,fall,Naomi Duenas,Cumberlands,Fall 2:31
207,Cons. Round 2,Kylee Lindsley,Ottawa,fall,Destiny Marquez,Cumberlands,Fall 2:07
207,Cons. Round 2,Faith Wooley,Wayland Baptist,fall,Skyler Bruno,Waldorf,Fall 1:59
207,Cons. Round 2,Kiona Michel,Eastern Oregon,fall,Taylor Rickley,Hastings,Fall 4:13
207,Cons. Round 2,Hayeni Costa,Lindsey Wilson,tech fall,Fernanda Canedo,Westcliff,TF 12-2
207,Cons. Round 2,Cheyenne Cruce,Lindsey Wilson,tech fall,Alexis Llamas,Hastings,TF 11-0
207,Champ. Round 2,Lillian Gradillas-Flores,Southern Oregon,fall,Cheyenne Cruce,Lindsey Wilson,Fall 4:53
207,Champ. Round 2,Leilani Sanchez,Wayland Baptist,fall,Phoebe Burt,William Penn,Fall 5:13
207,Champ. Round 2,Kena Leonard,Ottawa,decision,Jessica Rodriguez,Doane,Dec 6-1
207,Champ. Round 2,Carla Campos,Texas Wesleyan,tech fall,Fernanda Canedo,Westcliff,TF 11-1
207,Champ. Round 2,Selena Mares,Grand View,fall,Kiona Michel,Eastern Oregon,Fall 0:43
207,Champ. Round 2,Madeline Welch,Life,fall,Faith Wooley,Wayland Baptist,Fall 1:40
207,Champ. Round 2,Naomi Duenas,Cumberlands,fall,Kylee Lindsley,Ottawa,Fall 2:40
207,Champ. Round 2,Haley Ward,Avila,fall,Madeleine Stone,Baker,Fall 4:15
207,Champ. Round 1,Leilani Sanchez,Wayland Baptist,decision,Destiny Marquez,Cumberlands,Dec 5-3
207,Champ. Round 1,Jessica Rodriguez,Doane,fall,Skyler Bruno,Waldorf,Fall 1:56
207,Champ. Round 1,Carla Campos,Texas Wesleyan,tech fall,Taylor Rickley,Hastings,TF 12-0
207,Champ. Round 1,Selena Mares,Grand View,fall,Hayeni Costa,Lindsey Wilson,Fall 3:00
207,Champ. Round 1,Haley Ward,Avila,tech fall,Alexis Llamas,Hastings,TF 11-0
