athlete_id,first_name,last_name,full_name,team,team_abbreviation,weight_class,seed,division
221beeaf-96b9-46c6-b51d-b3ad819a628e,Abbie,Jones,Abbie Jones,Baker (W),BKR,136,,NAIA
3af7a109-61a0-4555-9cf7-1b2200787c93,Abigail,Halstead,Abigail Halstead,Baker (W),BKR,109,,NAIA
fa5dd239-1cd3-4f86-92d0-c8eb3bc6fb77,Akemi,Garcia,Akemi Garcia,Lourdes,LRDS,123,,NAIA
1b347225-9fe2-4eaa-99d0-ec15d588cd0f,Akina,Yamada,Akina Yamada,Waldorf (W),WU,143,9,NAIA
7c02b2d0-ca01-4948-84ef-047387baea31,Alaura,Couch,Alaura Couch,Grand View (W),GRVW,101,8,NAIA
c53084a6-76b0-4863-9eb1-95f4f1126dc2,Alesandra,Burgos,Alesandra Burgos,Brewton Parker (W),BPC,123,,NAIA
fefc32d7-4eb6-47ba-bff3-53bee6ae657f,Alessia,Cokeley,Alessia Cokeley,Ottawa (W),OU,109,,NAIA
423d6c8c-71e5-4bc4-a079-014a191bd2f7,Alexandra,Martinez,Alexandra Martinez,Brewton Parker (W),BPC,109,,NAIA
7c613749-5c10-4da5-885c-7b0b5cc94cd2,Alexandra,Baudhuin,Alexandra Baudhuin,Jamestown (W),JMST,130,6,NAIA
92c4a6c6-239f-4c6f-a5a8-74311bfc6347,Alexandra,Castillo,Alexandra Castillo,Campbellsville (W),CU,170,1,NAIA
53f69a7c-5024-4fe1-970b-757b1340a3b6,Alexandrea,Banag,Alexandrea Banag,Lyon (W),LC,143,,NAIA
6f6b9eb7-172c-4b85-a568-5e2f92e66a5e,Alexis,Lopez,Alexis Lopez,Grand View (W),GRVW,155,,NAIA
28321745-3319-421e-8713-d1082bbb515a,Alisha	Van,Scoy,Alisha	Van Scoy,St. Mary (W),STM,123,,NAIA
de96b6e8-d55d-42d0-8de0-0eb10d3c0646,Aliyah,Ashby,Aliyah Ashby,Central Methodist (W),CMTH,155,,NAIA
8fb1ccff-6a87-45cf-86db-b3d081f60922,Allyson,Arrington,Allyson Arrington,Cumberlands (W),UC,136,,NAIA
38943ddf-6863-4a8d-9c74-48480ddb0d3a,Alyssa,Schuller,Alyssa Schuller,Indiana Tech,INDT,116,6,NAIA
adbb5e48-28a0-4d34-82c8-b89cac88bc1b,Amy,Fuller,Amy Fuller,Hastings,HSTG,136,11,NAIA
45044b98-600a-4e88-839a-365ae3e33159,Anastasia,Hardin,Anastasia Hardin,Providence (W),PRO,155,,NAIA
4853470d-7584-4254-85e2-6c9c8f662ce9,Andrea,Montoya,Andrea Montoya,Central Methodist (W),CMTH,136,,NAIA
863a3a37-7f5e-4186-a224-bbc4db7edb7e,Andrea,Schlabach,Andrea Schlabach,Grand View (W),GRVW,136,3,NAIA
17748856-b7fd-4151-8323-9b8e0b8bd623,Angela,Vitiritti,Angela Vitiritti,Campbellsville (W),CU,130,2,NAIA
f5339dbd-98c9-4e23-a59d-727d8447e194,Angelina,Prado,Angelina Prado,Life (W),LIFE,136,5,NAIA
e433a767-ff9d-49a0-9194-bc1938e3aa6e,Angelina,Casteneda,Angelina Casteneda,Cumberlands (W),UC,101,,NAIA
8f854652-e096-4315-9c1e-88a5ea33014e,Angelique,Cervantes,Angelique Cervantes,Life Pacific (W),LPCF,101,,NAIA
56b540b8-5a18-431e-a0aa-91bf26070e2a,Anjelynn,Baron,Anjelynn Baron,Eastern Oregon (W),EOU,123,,NAIA
8fa12523-78e4-4039-800e-e1b76825e172,Ann,Marie	Hidalgo,Ann Marie	Hidalgo,Jamestown (W),JMST,109,,NAIA
8c0f1afd-7cc9-464f-aa10-25894916ebe3,Aphrodite,Ayala,Aphrodite Ayala,Simpson (W),SIMP,116,,NAIA
6ff4ecc8-ac04-4ce1-81f9-b0a848216165,Ariana,Pereria,Ariana Pereria,Cumberlands (W),UC,191,,NAIA
1b654e46-ce5a-46cd-b489-7ed913eaa92d,Arianna,Marrufo,Arianna Marrufo,Jamestown (W),JMST,116,8,NAIA
c5e272e0-77e6-497b-90c4-864ba4bcc692,Ashlee,Palimo'o,Ashlee Palimo'o,Midland (W),MIDL,136,,NAIA
1acdc865-f89c-489d-87c2-8e51fb4d0565,Ashley,Ikner,Ashley Ikner,Cumberlands (W),UC,143,7,NAIA
